name,address,latitude,longitude,phone,email
M.Y. Hospital Blood Bank,"MY Hospital Campus, Indore",22.717,75.8586,0731-2527383,mybloodbank@health.in
Bombay Hospital Blood Bank,"Ring Road, Indore",22.7193,75.8822,0731-4771888,bombayblood@hospital.in
CHL Hospital Blood Bank,"A.B. Road, L.I.G. Square, Indore",22.7245,75.8839,0731-4733300,chlbank@chl.in
Suyash Hospital Blood Bank,"Opp. Meghdoot Garden, Indore",22.7484,75.8931,0731-4788900,suyashblood@suyash.in
Gokuldas Hospital Blood Bank,"Navlakha, Indore",22.7052,75.8605,0731-2432262,gokuldas@hospital.in
Apollo Hospital Blood Bank,"Bicholi Mardana, Indore",22.6944,75.9216,0731-5009090,apolloindore@apollo.in
Greater Kailash Hospital Blood Bank,"Old Palasia, Indore",22.7211,75.8806,0731-4040404,gkhblood@gkh.in
Index Medical College Blood Bank,"Nemawar Road, Indore",22.7583,75.7663,0731-4710300,indexbb@index.in
Aurobindo Hospital Blood Bank,"Sanwer Road, Indore",22.806,75.8575,0731-4231000,saimed@saims.in
Shalby Hospital Blood Bank,"Janjeerwala Square, Indore",22.7282,75.8715,0731-6677777,shalby@shalby.in
Medanta Hospital Blood Bank,"Rau, Indore",22.6352,75.8372,0731-4785000,medanta@medanta.in
Gandhi Medical College Blood Bank,"Near Hamidia Hospital, Bhopal",23.2599,77.4126,0755-2735550,gmcbb@gmc.in
Bansal Hospital Blood Bank,"Shahpura, Bhopal",23.199,77.4573,0755-4086000,bansal@bansal.in
Patel Hospital Blood Bank,"Dewas Naka, Indore",22.7654,75.8912,0731-2767777,patel@hospital.in
Unique Hospital Blood Bank,"MR-10 Road, Indore",22.7463,75.8934,0731-4090909,unique@unique.in
Choithram Hospital Blood Bank,"Manik Bagh Road, Indore",22.6956,75.865,0731-2362491,choithram@example.com
MY Hospital Blood Bank,"A.B. Road, Indore",22.7152,75.8798,0731-2527383,myhospital@example.com
Suyash Hospital Blood Bank,"5/1, Residency Area, Opposite MGM Medical College, AB Road, Indore",22.7196,75.8577,0731-4064911,info@suyashhospital.com
Lahoti Medicare Blood Bank,"4/5, Old Palasia, Ravindra Nagar, Indore",22.72,75.88,0731-1234567,lahoti@example.com
Shubham Blood Bank,"51, Shri Nagar Ext., Khajrana Road, near SNS Hospital, Indore",22.73,75.85,0731-2345678,shubham@example.com
Noble Path Lab & Blood Bank,"37/1, South Tukoganj Road, Indore",22.725,75.86,0731-3456789,noble@example.com
Varma Union Blood Bank,"120, Dhar Road, Near Kastur Cinema, Gangwal Bus Stand, Indore",22.735,75.87,0731-4567890,varma@example.com
Allied Pathology Lab and Blood Bank,"5, Trishul Building, A B Road, Indore",22.74,75.88,0731-5678901,allied@example.com
Life Line Hospital Blood Bank,"14, Anoop Nagar, A B Road, MIG Circle, Vijay Nagar, Indore",22.745,75.89,0731-6789012,lifeline@example.com
Sri Aurobindo Institute Blood Bank,"Gram Bhanwarsla, Sanwer Road, Indore",22.75,75.9,0731-7890123,aurobindo@example.com
